Date,Product,Price,Quantity,Region,City,Country,Discount,Payment_Method,Customer_Age,Customer_Gender
2022-10-15,Laptop,29365.0,38.0,North,Chennai,UK,5.0,UPI,25.0,Female
2022-10-22,Mouse,55568.0,44.0,East,Kolkata,Canada,5.0,,43.0,Male
2022-05-02,Laptop,71239.0,1.0,North,Kolkata,,10.0,Cash,60.0,
2022-10-07,Camera,74562.0,4.0,South,Lucknow,USA,0.0,Cash,69.0,Female
2022-02-08,Laptop,63361.0,27.0,East,Mumbai,USA,10.0,Net Banking,41.0,Other
2022-01-01,Monitor,28191.0,14.0,North,Kolkata,UK,5.0,Debit Card,59.0,Male
2022-11-24,Mouse,48967.0,39.0,West,Delhi,USA,0.0,Debit Card,,Female
2022-10-15,Headphones,48022.0,31.0,South,Delhi,Germany,0.0,Cash,26.0,Other
2022-09-08,,61968.0,13.0,East,Jaipur,USA,20.0,Debit Card,59.0,Male
2022-04-08,Mouse,99971.0,25.0,North,Ahmedabad,Germany,20.0,Debit Card,,Female
2022-06-11,Laptop,64857.0,25.0,East,Chennai,USA,0.0,Credit Card,64.0,Male
2022-10-02,Monitor,27772.0,33.0,South,Jaipur,UK,,UPI,,Other
,Camera,90382.0,42.0,East,Delhi,UK,10.0,UPI,47.0,Other
2022-02-23,Headphones,93178.0,30.0,East,Chennai,Canada,5.0,UPI,38.0,Female
2022-04-11,Mouse,58929.0,5.0,West,Chennai,Canada,0.0,UPI,65.0,Female
2022-06-19,Smartwatch,69543.0,20.0,North,Chennai,India,10.0,Debit Card,51.0,Male
2022-12-31,Smartwatch,89256.0,12.0,East,Ahmedabad,,0.0,UPI,48.0,Other
2022-01-14,Camera,95514.0,37.0,South,Lucknow,USA,20.0,Cash,24.0,Male
2022-11-15,Laptop,48921.0,12.0,South,Chennai,India,5.0,Credit Card,55.0,Female
2022-08-08,Monitor,40230.0,15.0,East,Jaipur,Germany,15.0,UPI,39.0,Other
2022-12-02,Camera,83087.0,45.0,North,Chennai,France,15.0,Credit Card,,Male
2022-10-29,Tablet,86907.0,33.0,East,Jaipur,Germany,5.0,Credit Card,29.0,Male
